name,brand_name,original_price,discounted_price,rating_number,reviews_number,makeup_type,skin_type,texture
كريم أساس لاستينج فينيش يدوم لمدة 35 ساعة من ريميل لندن,Rimmel London,72,54,4.9,13,ضد الماء - كريم أساس,Not Available,Not Available
مجموعة كونسيلر خافي ومصحح عيوب البشرة كونسيل لايك أ برو من ايسنس,essence,18.40,15.64,4.9,57,خافي عيوب,Not Available,كريمي
فلورمار بلاشر أحمر خدود مود بوستر,Flormar,33,24.75,4.8,8,أحمر خدود,Not Available,Not Available
ريفلوشن مجموعة أحمر الخدود - شوجر اند سبايس,Revolution,96,62.40,5,2531,أحمر خدود - إضاءة - تسمير,Not Available,بودرة
توب فيس أحمر شفاه مطفي فوكس بوينت - 007,Topface,43,16.50,4.9,375,أحمر شفاه,Not Available,كريمي
كونسيلر خافي عيوب كونسيل برو من ال اي قيرل - GC986,LA Girl,23,11.45,4.9,36,خافي عيوب,Not Available,كريمي
أحمر شفاه روج سمارت فيوجن من كيكو,KIKO Milano,35,0,4.9,37,أحمر شفاه,Not Available,كريمي
كالا ميك اب ايلاينر آيدول,CALLA Makeup,60,24,5,3,محدد العين,Not Available,Not Available
قلوس ملمع شفاه ثري دي هايدرا من كيكو - 017,KIKO Milano,89,0,4.9,77,ملمع الشفاه,Not Available,سائل
مجموعة الوجه قولد كوست من ذا بالم,theBalm Cosmetics,220,77,4.9,59,أحمر خدود - إضاءة - ظلال العيون,Not Available,بودرة
مجموعة ظلال العيون روز كوارتز من هدى بيوتي,HUDA BEAUTY,335,0,4.9,20,ظلال العيون,Not Available,بودرة
توب فيس فرشاة أحمر الخدود  - f02,Topface,36,14.40,4.9,290,Not Available,Not Available,Not Available
بلاشر احمر خدود واضاءة هايلايتر كولور بلاي بلشد من ريلوف - داي دريم,Relove,21,15.75,4.8,48,أحمر خدود - إضاءة,Not Available,بودرة
بودرة مكياج شفافة من ار سي ام أي,RCMA,74.75,52.33,4.9,2573,بودرة تثبيت,Not Available,بودرة - بودرة حرة
كالا ميك اب أحمر شفاه روج ليب كرايون - CM602,CALLA Makeup,30,12,4.8,144,أحمر شفاه - تحديد الشفاه,Not Available,Not Available
توب فيس احمر شفاه روج سينسيتيف ستايلو- 004,Topface,50,17.50,5,140,أحمر شفاه,Not Available,كريمي
أحمر شفاه روج سائل ميت مات من ذا بالم - ديتيكتيد,theBalm Cosmetics,65,22.75,4.9,25,أحمر شفاه,Not Available,سائل
جل حواجب ذا براو جلو من نيكس - بني متوسط,NYX,55.01,0,5,62,الحواجب,Not Available,جــل
بيوتي كرييشنز برايمر فلاوليس ستاي جريب,Beauty Creations,55,41.25,0,0,برايمر,Not Available,جــل
كونسيلر خافي عيوب كاموفلاج + مات من ايسنس,essence,18,15.30,4.8,53,خافي عيوب - ضد الماء,Not Available,كريمي
بودرة تثبيت ايزي بيك من هدى بيوتي - كب كيك,HUDA BEAUTY,219.89,199.90,5,22,بودرة تثبيت,Not Available,بودرة حرة
توب فيس كريم اساس بيرفكت كوفرج,Topface,60,19.80,4.9,4406,كريم أساس,حساسة - دهنية - طبيعية - مختلطة,سائل
ماسكارا حواجب اوه وي! برو فايبر من برجوا,Bourjois,62,40.30,5,4,الحواجب - ماسكارا,Not Available,Not Available
احمر خدود سائل سويت بلاش من لوتي - موكا موف,Lottie,57,45.60,0,0,أحمر خدود,Not Available,سائل
تنت الشفاه والخدود لوف فايري ريد تنتد من بنفت - 6.0مل,Benefit,105,99.75,4.9,29,أحمر خدود,Not Available,سائل
أحمر شفاه روج سائل ميت مات من ذا بالم - فيرس,theBalm Cosmetics,65,19.50,5,13,أحمر شفاه,Not Available,سائل
أحمر شفاه روج سائل ميت مات من ذا بالم - افيكشونيت,theBalm Cosmetics,65,26,4.9,23,أحمر شفاه,Not Available,سائل
كونسيلر خافي عيوب اولويز فابيلوس من برجوا,Bourjois,80.99,52.64,4.9,18,خافي عيوب - ضد الماء,Not Available,كريمي
ميك اب فور ايفر برايمر ستيب ون لتصغير المسام - 30مل,MAKE UP FOR EVER,190,189.90,5,39,برايمر - ضد الماء,جافة - دهنية - مختلطة,كريمي
شيجلام أحمر خدود جل تشكي كلر,Sheglam,24,0,5,1,أحمر خدود,Not Available,كريمي
كحل عين سائل فاين من ميس بيوتي لندن - 01,Miss Beauty London,27.60,0,5,12,محدد العين,Not Available,سائل
ميك اوفر22 ماسكرا هاي امباكت,Make Over 22,28.19,22.55,5,12,ماسكارا,Not Available,Not Available
اسفنجة مكياج للوجه من كي اس دي - 33,KSD,33.35,31,0,0,Not Available,Not Available,Not Available
ريفلون أحمر شفاه روج سوبر لاستورس كريمي,Revlon,57.99,0,5,4,أحمر شفاه,Not Available,كريمي
