name,brand_name,original_price,discounted_price,rating_number,reviews_number,makeup_type,skin_type,texture
توب فيس بلاشر احمر خدود بيكد تشويس - 001,Topface,58,23.20,4.9,30,أحمر خدود,Not Available,بودرة
هارتس بلاشر أحمر خدود - 11 جم,Hearts,53,0,0,0,أحمر خدود,جافة - حساسة - دهنية - طبيعية - مختلطة,بودرة
توب فيس قلم محدد شفاه مقاوم للماء - 113,Topface,26,10.40,5,357,تحديد الشفاه - ضد الماء,Not Available,قلم - كريمي
مجموعة تثبيت الحواجب الكل في واحد من كاريسا كوزماتيكس - 3 قطع,Carissa Cosmetics,75,0,5,10,الحواجب,Not Available,Not Available
نوت كوزمتيك كونسيلر خافي عيوب بيرفيكتنج بين,NOTE Cosmetique,49.02,36.77,0,0,خافي عيوب,جافة - حساسة - دهنية - طبيعية - مختلطة,قلم - كريمي
توب فيس أحمر شفاه مطفي فوكس بوينت - 009,Topface,40,14,4.9,320,أحمر شفاه,Not Available,كريمي
ميك اوفر22 كحل سائل لامع - M3009,Make Over 22,31.36,18.81,4.8,75,Not Available,Not Available,سائل
توب فيس بلاشر احمر خدود توين انستايل - 006,Topface,57,11.40,4.9,144,أحمر خدود,Not Available,بودرة
ريلوف قلوس ملمع شفاه بيبي,Relove,25,18.75,5,1,ملمع الشفاه,Not Available,Not Available
أحمر شفاه سائل روج فيلفيت إنك من برجوا,Bourjois,105,68.25,5,18,أحمر شفاه,Not Available,سائل
ميك اوفر22 ظل عيون سائل لامع  - M2613,Make Over 22,34.50,0,5,68,ظلال العيون,Not Available,سائل
توب فيس احمر شفاه روج انستايل اكستريم مطفي - 023,Topface,55,16.50,5,204,أحمر شفاه,Not Available,سائل
ريفلوشن إضاءة هايلايتر برايت لايت فيس قلو,Revolution,79.01,55.30,4.9,50,Not Available,Not Available,كريمي
هارتس أحمر شفاه روج سائل مطفي - 6 مل,Hearts,40,0,0,0,أحمر شفاه,Not Available,سائل
ريفلوشن صابونة الحواجب,Revolution,60,42,4.9,45,الحواجب,Not Available,Not Available
نوت كوزمتيك بودرة مضغوطة لومينوس سيلك,NOTE Cosmetique,55.03,41.27,0,0,بودرة تثبيت,جافة - حساسة - دهنية - طبيعية - مختلطة,بودرة مضغوطة
نوت كوزمتيك روج أحمر شفاه مات ايفر ليب اينك,NOTE Cosmetique,55.03,41.27,0,0,أحمر شفاه,Not Available,سائل
إضاءة هايلايتر كريمي فريدوم سيستم جلو فيلينج من انجلوت,INGLOT,60,45,4.8,5,إضاءة,Not Available,كريمي
كالا ميك اب أحمر شفاه روج كريمي شبه مطفي  - CM-70,CALLA Makeup,50,19,4.9,487,أحمر شفاه,Not Available,كريمي
ميساودا احمر شفاه روج كولت كريمي - 107 ويسبر,MESAUDA,69,55.20,5,35,أحمر شفاه,Not Available,كريمي
ايسنس تنت شفاه تنتد كيس هايدرايتنج,essence,18,15.30,4.9,94,Not Available,Not Available,سائل
قلم تحديد الشفاه أي ار ال فلتر فينيش من ريفلوشن - كلير كب,Revolution,29,20.30,5,1,تحديد الشفاه,Not Available,كريمي
بودرة تثبيت الأساس من نوره بوعوض,NORA BO AWADH,92,0,4.9,32,Not Available,Not Available,بودرة حرة
ميبلين فيت مي مات + بورلس كريم أساس فاونديشن سائل بعامل حماية من الشمس  SPF22,Maybelline,68.39,41.03,4.9,216,كريم أساس,حساسة - طبيعية,سائل
اوفرا اضاءة ثنائية ميلك & كوكيز,OFRA,104,88.40,5,41,إضاءة,Not Available,بودرة
شارلوت تلبوري كريم أساس فاونديشن اير برش فلوليس,Charlotte Tilbury,250,200,5,45,كريم أساس,Not Available,كريمي
ميك اوفر 22 إسفنجة الألياف لإزالة المكياج,Make Over 22,15.54,11.65,5,7,Not Available,Not Available,Not Available
كالا ميك اب أحمر شفاه روج كريمي شبه مطفي  - CM-74,CALLA Makeup,50,19,4.9,227,أحمر شفاه,Not Available,كريمي
كاتريس احمر خدود ايربلش جلو,Catrice,21.01,17.86,5,2,أحمر خدود,Not Available,Not Available
ريفلوشن ويب ليفت مسكارا 5D  - مقاومة للماء,Revolution,75,48.75,5,6,ضد الماء - ماسكارا,Not Available,Not Available
ماسكرا بادجال بانج مقاومة للماء من بنفت,Benefit,157,156.90,5,5,ماسكارا,Not Available,Not Available
ماسكرا باد غال بانج فوليوم من بنفت - اسود,Benefit,157,133.45,5,800,ضد الماء - ماسكارا,Not Available,سائل
ماك بلاشر أحمر خدود جلو بلاي كوشني,MAC,170,127.50,5,6,أحمر خدود,Not Available,كريمي
قلم كحل تحديد العين ايبك وير من نيكس - 07 ديبيست براون,NYX,55,0,0,0,محدد العين,Not Available,قلم - كريمي
أحمر شفاه روج سائل ميت مات من ذا بالم - همبل,theBalm Cosmetics,65,22.75,5,18,أحمر شفاه,Not Available,سائل
توب فيس جل الحواجب انستايل - بني,Topface,60,21,4.9,958,الحواجب - ضد الماء,Not Available,جــل - كريمي
ميساودا احمر شفاه روج كولت كريمي - 110 كوين,MESAUDA,69,55.20,4.9,19,أحمر شفاه,Not Available,كريمي
كريم أساس و كونسيلر سوبر مات 2  في 1 من ريلوف,Relove,39,29.25,4.7,15,خافي عيوب - كريم أساس,Not Available,سائل
ميك اوفر22 احمر شفاه روج لونج لاستينج مات - M627,Make Over 22,28.29,24.05,5,321,أحمر شفاه,Not Available,كريمي
ريل تكنيك فرشاة ميني ملتي تاسك,Real Techniques,20,0,4.9,473,Not Available,Not Available,Not Available
قلم احمر شفاه روج فلفت ذا بنسل من برجوا,Bourjois,85,55.25,4.9,22,أحمر شفاه - ضد الماء,Not Available,كريمي
كالا ميك اب أحمر شفاه روج كريمي شبه مطفي  - CM-83,CALLA Makeup,50,15,5,255,أحمر شفاه,Not Available,كريمي
ماسكارا 5 دي لاش مقاومة للماء من ريفلوشن,Revolution,75,48.75,5,1,ضد الماء - ماسكارا,Not Available,Not Available
ستيك احمر الخدود فاست بيس من ريفلوشن - بلش,Revolution,59,44.25,4.9,422,أحمر خدود,Not Available,ستيك - كريمي
قلم تحديد الحواجب من بلينك - 01 كاكاو كوين,Blink,58,0,5,63,الحواجب,Not Available,كريمي
شيجلام مجموعة امبر روز - 13 قطعة,Sheglam,299,0,5,1,أحمر خدود - أحمر شفاه - ظلال العيون - ملمع الشفاه,Not Available,Not Available
كنتور محدد وجه وإضاءة هايلايتر وندر ستيك من نيكس - يونيفرسال لايت,NYX,89,0,4.9,56,إضاءة - كنتور,Not Available,كريمي
مجموعة فرش مكياج لافاش اليجنس من بي اتش - 15فرشاة,BH cosmetics,148,59.20,4.9,387,Not Available,Not Available,Not Available
ميك اب فور ايفر برايمر ستيب ون شاين كونترول  -15 مل,MAKE UP FOR EVER,80,0,4.8,5,برايمر,Not Available,Not Available
ماسكرا سكندلايز من ريميل لندن - اسود,Rimmel London,59,44.25,4.9,549,ماسكارا,Not Available,سائل
بلاشر أحمر خدود لوس باودر بريسم ليبر 4 ألوان من جيفنشي - 3 فوال كوريل,Givenchy,252,0,0,0,أحمر خدود - بودرة تثبيت,Not Available,بودرة - بودرة حرة
ميساودا مجموعة ظلال العيون بير هارموني 3.0 - 204 ديلشس روز,MESAUDA,108,86.40,4.8,12,ظلال العيون,Not Available,بودرة
مجموعة 6 احمر شفاه سائل ميت مات هيوز من ذا بالم,theBalm Cosmetics,149,59.60,4.9,1138,أحمر شفاه,Not Available,سائل
ميبلين تاتو انك قلم كحل للعيون,Maybelline,51,0,4.9,10,ضد الماء - محدد العين,Not Available,سائل
احمر شفاه روج سائل مطفي من جيرلاكتك - سويت,girlactik,104.48,62.69,4.8,61,أحمر شفاه,Not Available,سائل
توب فيس فرشاة كريم أساس بزاوية - F06,Topface,42,21,4.9,241,Not Available,Not Available,Not Available
هينس بودرة مضغوطة سكند سكين ايري باودر,hince,100.87,0,0,0,بودرة تثبيت,جافة - حساسة - دهنية - طبيعية - مختلطة,بودرة
نارس بلاشر أحمر خدود سائل - دولتشي فيتا,NARS,205,195.01,5,95,أحمر خدود,Not Available,سائل
ميساودا قلم محدد شفاه أرتيست ليبس -102 روزوود,MESAUDA,32,25.60,4.9,191,تحديد الشفاه,Not Available,كريمي
مبراة مكياج مزدوجة من كيكو,KIKO Milano,29,0,0,0,Not Available,Not Available,Not Available
ميك اب فور ايفر بخاخ مثبت مكياج برائحة العود - 100مل,MAKE UP FOR EVER,145,0,5,8,Not Available,Not Available,بخاخ
كيكو بودرة تثبيت مضغوطة مات فيوجن,KIKO Milano,89,0,5,45,بودرة تثبيت,Not Available,بودرة - بودرة مضغوطة
توب فيس احمر شفاه روج مطفي فوكس بوينت - 001,Topface,40,14,4.9,41,أحمر شفاه,Not Available,كريمي
كالا ميك اب بودرة منثورة لتثبيت المكياج - CM-53,CALLA Makeup,70,28,4.9,170,بودرة تثبيت,Not Available,بودرة حرة
قلوس ملمع شفاه فابيلو من برجوا,Bourjois,74.99,48.74,4.8,17,ملمع الشفاه,Not Available,سائل
مزيل المكياج عميق المفعول من كلين اند كلير - 150مل,Clean and Clear,35,0,4.9,19,Not Available,حساسة,Not Available
ميساودا ماسكرا جل وتثبيت الحواجب - 403 Mud,MESAUDA,55,44,5,5,الحواجب - ماسكارا,Not Available,Not Available
ميك اب فور ايفر الوجه اتش دي سكن - هارموني 1,MAKE UP FOR EVER,365,0,4.9,70,أحمر خدود - إضاءة - خافي عيوب - كريم أساس - كنتور,Not Available,كريمي
مجموعة العين سام & نيك من ريل تكنيك,Real Techniques,43,0,4.9,59,Not Available,Not Available,Not Available
ميك اوفر22 اسفنجة مكياج ذات جوانب مزدوجة -MS-01,Make Over 22,20.49,6.15,5,88,Not Available,Not Available,Not Available
ماسكرا داي تو نايت مقاومة للماء من ريميل لندن - 001 اسود,Rimmel London,72,54,4.9,902,ضد الماء - ماسكارا,Not Available,سائل
قلوس ملمع شفاه من نورة بو عوض  - ليتل برنسس,NORA BO AWADH,83,0,4.9,33,أحمر شفاه,Not Available,سائل
برايمر ذا بورفيشنال من بنفت - 22مل,Benefit,198,197.90,4.9,111,برايمر,Not Available,كريمي
توب فيس احمر شفاه مطفي فوكس بوينت - 012,Topface,40,14,4.9,272,أحمر شفاه,Not Available,كريمي
قلم الحواجب بليد برو من ريلوف - قرانيت,Relove,14,10.50,4.9,223,الحواجب,Not Available,كريمي
أحمر شفاه روج ديور فوريفر من ديور,Dior,220,176,5,8,أحمر شفاه,Not Available,Not Available
ميساودا قلم كحل سائل انك لاينر جرافيك – أسود,MESAUDA,58,49.30,5,27,ضد الماء - محدد العين,Not Available,سائل
مبراة أقلام تحديد الحواجب من كاتيا,Katia,15,0,4.9,50,Not Available,Not Available,Not Available
ميبلين ليفتر قلوس ملمع شفاه قلوس مع هيالورونيك أسيد - 07 امبر,Maybelline,50.31,32.71,4.8,36,ملمع الشفاه,Not Available,سائل
ميك اوفر22 قطرة الذهب,Make Over 22,65.84,42.80,4.9,148,Not Available,جافة - دهنية - طبيعية - مختلطة,سائل
مجموعة ظلال العيون ديور شو  5 كولورز من ديور - 689 ميتزا,Dior,335,0,5,1,ظلال العيون,Not Available,بودرة
قلم محدد شفاه من نوره بو عوض - فرابوتشينو,NORA BO AWADH,35,0,5,105,تحديد الشفاه,Not Available,قلم - كريمي
كريم اساس ضد الماء بعامل حماية من الشمس +50 من فانيسيوم,VANESSIUM,75,67.50,5,6,ضد الماء - كريم أساس,Not Available,سائل
بيبي كريم وايت برستيج فور دي متعدد الوظائف من إيفلين - 50 مل,Eveline Cosmetics,48,41,4.9,41,بي بي كريم,Not Available,كريمي
كالا ميك اب مجموعة ظلال العيون ذا قلامورس - 18 لون - CM-218,CALLA Makeup,150,45,4.9,168,ظلال العيون,Not Available,بودرة
صمغ لاصق للرموش الصناعية من لوكس - لون غامق - 5غ,Loox,27.60,0,4.9,114,Not Available,Not Available,Not Available
قلم احمر شفاه روج فلفت ذا بنسل من برجوا,Bourjois,85,55.25,4.9,22,أحمر شفاه - ضد الماء,Not Available,كريمي
مجموعة 6 ميني احمر شفاه سائل ميت مات هيوز من ذا بالم,theBalm Cosmetics,149,52.15,4.9,425,أحمر شفاه,Not Available,سائل
كالا ميك اب قلوس ملمع ومكبر للشفاه بلامبينج - CM-402,CALLA Makeup,40,21,4.9,103,ملمع الشفاه,Not Available,سائل
قلم كحل سائل الترا مات برو من كاتيا,Katia,34,0,0,0,Not Available,Not Available,Not Available
شيجلام قلم محدد شفاه وقلوس سوفت 90's جلام,Sheglam,33,0,4.9,19,تحديد الشفاه - ملمع الشفاه,Not Available,Not Available
هينس كريم أساس فاونديشن سكند سكين جلو كوشن,hince,111.20,0,0,0,كريم أساس,جافة - حساسة - دهنية - طبيعية - مختلطة,Not Available
ميك اوفر22 مجموعة كنتور محدد وجه وبرونزر موكا,Make Over 22,58.55,38.05,4.9,9,تسمير - كنتور,Not Available,Not Available
قلم تحديد الحواجب من نيكس - شوكليت,NYX,69.01,0,5,26,الحواجب,Not Available,كريمي
احمر شفاه روج فلفت من برجوا - 19,Bourjois,101,65.65,4.9,111,أحمر شفاه,Not Available,كريمي
قلوس ملمع شفاه اديكت ليب ماكسيمايزر من ديور - 039 انتنس سينامون,Dior,219.89,199.90,5,6,ملمع الشفاه,Not Available,Not Available
ال اي قيرل مجموعة احمر الخدود - بلشد بيبي,LA Girl,46,36.80,5,112,أحمر خدود - تسمير - كنتور,Not Available,بودرة
كاتريس مرطب الشفاه جليتر جلام جلو,Catrice,24.99,21.24,0,0,Not Available,Not Available,Not Available
كالا ميك اب أحمر شفاه روج مطفي  - CM-80,CALLA Makeup,50,30,4.9,1474,أحمر شفاه,Not Available,كريمي
توب فيس برايمر مطفي - 001,Topface,60,19.80,4.9,560,برايمر,Not Available,كريمي
بخاخ مثبت للمكياج من سكندنيفيا - 118مل,Skindinavia,132.25,92.58,4.9,120,Not Available,جافة - حساسة - دهنية - طبيعية - مختلطة,بخاخ
قلم تحديد الحواجب من ويبكو - برو,WBCo,73,36.50,5,4,الحواجب - ضد الماء,Not Available,Not Available
ريل تكنيك فرشاة كريم أساس فاونديشن جلو راوند بيس,Real Techniques,101,0,0,0,Not Available,Not Available,Not Available
قلم الحواجب المشطوف غوف بروف من بنفت - 06,Benefit,134,0,4.8,13,الحواجب,Not Available,كريمي
مجموعة ظلال العيون سويت بيتش من تو فيسد,Too Faced,310,0,5,2,ظلال العيون,Not Available,بودرة
سائل مرطب مطفي هيدرا برو مات من كيكو - 01,KIKO Milano,159,135,5,58,Not Available,Not Available,سائل
قلم تحديد الشفاه من نيكس - SPL858,NYX,34.99,0,5,11,تحديد الشفاه,Not Available,قلم - كريمي
دايموند باونس اضاءة هايلايتر من لوتي - جولدن,Lottie,61,48.80,5,1,إضاءة,Not Available,بودرة
احمر شفاه روج كريمي من نوره بو عوض - ميموري,NORA BO AWADH,79,0,5,7,أحمر شفاه,Not Available,كريمي
ماسكرا فان فيست فانينغ لتكثيف الرموش من بنفت,Benefit,157,151.90,4.9,28,ضد الماء - ماسكارا,Not Available,سائل
بلاشر احمر خدود من اوفرا - بنش,OFRA,137,0,0,0,أحمر خدود,Not Available,بودرة
ميساودا مرطب شفاه هايدرامورفوسيس تنتد & بلمبينج - 107 إمباور,MESAUDA,69,55.20,5,96,Not Available,Not Available,Not Available
قلم حواجب الترا ريجور من كاريسا كوزماتيكس - ريجور براون,Carissa Cosmetics,60,0,5,5,الحواجب,Not Available,قلم
نوت كوزمتيك بودرة تثبيت منثورة,NOTE Cosmetique,59.03,44.27,0,0,بودرة تثبيت,جافة - حساسة - دهنية - طبيعية - مختلطة,بودرة حرة
ريفلوشن كحل قلم تحديد العين - اسود,Revolution,36,25.20,4.9,93,محدد العين,Not Available,كريمي
مجموعة ظلال العيون بورن اكسكلوسيف من ال اي قيرل,LA Girl,110,99,5,43,ظلال العيون,Not Available,Not Available
احمر شفاه روج سائل مطفي من جيرلاكتك - بوش,girlactik,104.48,62.69,5,141,أحمر شفاه,Not Available,سائل
توب فيس احمر شفاه روج انستايل كريمي - 015,Topface,50,15,4.9,102,أحمر شفاه,Not Available,كريمي
بيريبيرا تنت شفاه اينك ايري فيلفت,Peripera,36.80,0,0,0,Not Available,Not Available,Not Available
شيجلام قلم الحواجب بيتر براوز لونق لاستنق,Sheglam,14.93,0,0,0,الحواجب,Not Available,قلم - كريمي
توب فيس احمر شفاه انستايل اكستريم مطفي - 012,Topface,55,16.50,4.9,359,أحمر شفاه,Not Available,سائل
مجموعة ظلال عيون ميديم نود أوبسيشنز من هدى بيوتي,HUDA BEAUTY,163,154.85,4.9,106,ظلال العيون,Not Available,Not Available
قلم تحديد العين بروفيشنال من باركود - 04 بني,Barcode,17,0,5,21,محدد العين,Not Available,Not Available
شارلوت تلبوري إضاءة هايلايتر بيلو توك بيوتي لايت واند - ميديم/موين,Charlotte Tilbury,200,199.90,5,7,إضاءة,Not Available,Not Available
مرطب شفاه ملون كايند آند فري من ريميل لندن,Rimmel London,49,36.75,4.9,17,Not Available,Not Available,مرطب
تنت البشرة إيز دروب من فنتي بيوتي,FENTY BEAUTY,195,156,5,49,ضد الماء - كريم أساس,Not Available,سائل
ذا بالم برونز بيتي لو مانيزر,theBalm Cosmetics,104,36.40,4.9,191,تسمير,Not Available,بودرة
أحمر شفاه فلفت من برجوا - 20,Bourjois,99,64.35,4.8,19,أحمر شفاه,Not Available,كريمي
مجموعة ظلال العيون امباورد من هدى بيوتي,HUDA BEAUTY,335,0,5,46,ظلال العيون,Not Available,بودرة
مجموعة الوجه من انستازيا بيفرلي هيلز - أوف تو كوستاريكا,Anastasia Beverly Hills,271,203.25,5,1,أحمر خدود - إضاءة - تسمير,Not Available,بودرة
فوي بلوري بودينغ بوت للشفاه والخدود,fwee,74.08,62.96,5,6,Not Available,Not Available,Not Available
توب فيس مجموعة كنتور محدد وجه مايسترو اكاديمي مينيراليست - 001,Topface,51,17.85,4.9,117,إضاءة - تسمير - كنتور,Not Available,بودرة
قلم تحديد العين ضد الماء من ايكو - أسود,Eyeko,83,0,5,5,ضد الماء - محدد العين,Not Available,Not Available
باليت ظلال عيون ونكا بار من شيجلام,Sheglam,37,0,5,16,ظلال العيون,Not Available,بودرة
توب فيس احمر خدود بيكد تشويس - 003,Topface,58,23.20,4.9,77,أحمر خدود,Not Available,بودرة
كونسيلر سكين لوفين سينسيتيف من ايسنس,essence,18,15.30,5,61,خافي عيوب,حساسة,كريمي
كونسيلر خافي عيوب 16 ساعة كامو من ايلف,Elf,59,53.10,5,4,خافي عيوب,جافة - دهنية - مختلطة,سائل
كونسيلر خافي عيوب هيلثي ميكس كلين من برجوا,Bourjois,79.01,51.36,4.9,33,خافي عيوب,جافة - حساسة - دهنية - طبيعية - مختلطة,كريمي
قلم تحديد الشفاه لاستينج فينيش من ريميل لندن,Rimmel London,28,21,5,36,تحديد الشفاه,Not Available,قلم - كريمي
مجموعة احمر خدود وبرونز قيرلز قيت اواي تريو من ذا بالم,theBalm Cosmetics,174,69.60,4.9,419,أحمر خدود - تسمير,Not Available,بودرة
ميك اوفر22 مجموعة كنتور وخافي عيوب كموفلاج,Make Over 22,56.25,42.18,0,0,خافي عيوب - كنتور,Not Available,كريمي
ريل تكنيك اسفنجة ميركل باودر دو - قطعتين,Real Techniques,68,0,5,1,Not Available,Not Available,Not Available
سيسلي باريس قلم هايلايتر ستيلو لوميير,Sisley,288,0,0,0,إضاءة - خافي عيوب,جافة - حساسة - دهنية - طبيعية - مختلطة,قلم - كريمي
ريميل احمر شفاة ثريل سيكر,Rimmel London,71,53.25,0,0,أحمر شفاه,Not Available,سائل
